klub;id;imnz;dur;ww
Flota Świnoujście;9400;Daniel Chyła;1988;180;76
Flota Świnoujście;13790;Rafał Kalinowski;1991;186;80
Flota Świnoujście;18358;Łukasz Mickiewicz; 1991;174;70
Flota Świnoujście;4932;Marek Niewiada;1980;186;83
Flota Świnoujście;6675;Tomasz Ostalczyk;1987;180;72
Flota Świnoujście;7407;Kamil Stachyra;1987;171;64
Flota Świnoujście;9143;Piotr Tomasik;1987;177;72
Flota Świnoujście;244;Ferdinand Chi Fon; 1976;175;75
Flota Świnoujście;7535;Damian Misan;1984;182;72
Flota Świnoujście;9258;Christian Nnamani; 1989;172;69
Flota Świnoujście;16508;Bartosz Śpiączka;1991;184;70
GKS Katowice;3553;Jacek Gorczyca;1976;184;90
GKS Katowice;3622;Krzysztof Damian Kozik; 1982;187;80
GKS Katowice;5670;Witold Sabela;1981;195;85
GKS Katowice;13353;Maciej Wierzbicki;1991;190;85
GKS Katowice;13354;Andrzej Wiśniewski;1992;188;82
GKS Katowice;14657;Ján Beliančin;1978;183;76
GKS Katowice;10759;Damian Kaciczak;1989;186;74
GKS Katowice;9120;Mateusz Kamiński;1988;190;79
GKS Katowice;953;Jacek Kowalczyk;1981;186;82
GKS Katowice;3075;Adrian Napierała;1982;187;86
GKS Katowice;8830;Mateusz Niechciał;1988;174;72
GKS Katowice;14236;Arkadiusz Ryś;1988;182;74
GKS Katowice;9335;Tomasz Rzepka;1985;184;77
GKS Katowice;10465;Damian Chmiel;1987;174;73
GKS Katowice;9440;Kamil Cholerzyński;1988;178;75
GKS Katowice;4902;Bartłomiej Chwalibogowski; 1982;178;70
GKS Katowice;16540;Michal Farkaš;1985;178;74
GKS Katowice;9777;Daniel Feruga;1988;177;77
GKS Katowice;6612;Grzegorz Goncerz;1988;185;73
GKS Katowice;10652;Tomasz Hołota;1991;185;83
GKS Katowice;16395;Dominik Kruczek;1991;177;69
GKS Katowice;1658;Piotr Plewnia;1977;181;73
GKS Katowice;10952;Rafał Sadowski;1989;180;72
GKS Katowice;13351;Bartosz Sobotka;1991;179;68
GKS Katowice;7159;Dawid Jarka;1987;180;78
GKS Katowice;17419;Bartłomiej Pawłowski;1992;178;70
GKS Katowice;5653;Przemysław Pitry;1981;184;81
GKS Katowice;19393;Deniss Rakels;1992;179;73
GKS Katowice;10134;Mateusz Zachara;1990;180;75
Kolejarz Stróże;10745;Łukasz Lisak;1985;189;80
Kolejarz Stróże;9398;Marcin Zarychta;1983;192;87
Kolejarz Stróże;8316;Adrian Basta;1988;180;77
