1804000;jarosławski;9;11
1805000;jasielski;4;6
1806000;kolbuszowski;2;2
1807000;krośnieński;10;11
1808000;leżajski;4;4
1809000;lubaczowski;2;3
1810000;łańcucki;8;11
1811000;mielecki;9;7
1812000;niżański;0;1
1813000;przemyski;2;6
1814000;przeworski;2;4
1815000;ropczycko-sędziszowski;7;8
1816000;rzeszowski;17;21
1817000;sanocki;4;10
1818000;stalowowolski;4;5
1819000;strzyżowski;1;4
1820000;tarnobrzeski;5;7
1821000;leski;14;15
1861000;m.Krosno;6;9
1862000;m.Przemyśl;9;10
1863000;m.Rzeszów;30;36
1864000;m.Tarnobrzeg;5;5
2001000;augustowski;9;10
2002000;białostocki;12;16
2003000;bielski;3;2
2004000;grajewski;0;3
2005000;hajnowski;5;5
2006000;kolneński;1;2
2007000;łomżyński;4;4
2008000;moniecki;3;2
2009000;sejneński;2;2
2010000;siemiatycki;4;5
2011000;sokólski;2;2
2012000;suwalski;3;4
2013000;wysokomazowiecki;0;2
2014000;zambrowski;4;3
2061000;m.Białystok;18;22
2062000;m.Łomża;2;3
2063000;m.Suwałki;3;7
2201000;bytowski;3;3
2202000;chojnicki;10;10
2203000;człuchowski;3;4
2204000;gdański;14;15
2205000;kartuski;10;14
2206000;kościerski;11;11
2207000;kwidzyński;6;6
2208000;lęborski;9;9
2209000;malborski;7;8
2210000;nowodworski;7;14
2211000;pucki;28;32
2212000;słupski;14;14
2213000;starogardzki;4;4
2214000;tczewski;11;12
2215000;wejherowski;14;15
2216000;sztumski;0;0
2261000;m.Gdańsk;61;73
2262000;m.Gdynia;14;13
2263000;m.Słupsk;7;9
2264000;m.Sopot;22;27
2401000;będziński;10;11
2402000;bielski;16;21
2403000;cieszyński;47;48
2404000;częstochowski;4;4
2405000;gliwicki;7;6
2406000;kłobucki;1;1
2407000;lubliniecki;6;6
2408000;mikołowski;6;5
2409000;myszkowski;4;7
2410000;pszczyński;9;11
2411000;raciborski;5;10
2412000;rybnicki;1;1
2413000;tarnogórski;11;11
2414000;bieruńsko-lędziński;1;3
2415000;wodzisławski;5;6
2416000;zawierciański;8;12
2417000;żywiecki;14;21
2461000;m.Bielsko-Biała;10;18
2462000;m.Bytom;4;5
2463000;m.Chorzów;5;7
2464000;m.Częstochowa;9;11
2465000;m.Dąbrowa Górnicza;5;5
2466000;m.Gliwice;13;15
2467000;m.Jastrzębie-Zdrój;3;5
2468000;m.Jaworzno;4;5
2469000;m.Katowice;19;20
2470000;m.Mysłowice;0;0
2471000;m.Piekary Śląskie;4;6
2472000;m.Ruda Śląska;2;3
2473000;m.Rybnik;8;6
2474000;m.Siemianowice Śląskie;2;2
2475000;m.Sosnowiec;3;7
2476000;m.Świętochłowice;1;1
2477000;m.Tychy;10;10
2478000;m.Zabrze;7;10
2479000;m.Żory;3;5
2601000;buski;10;16
2602000;jędrzejowski;2;4
2603000;kazimierski;1;3
2604000;kielecki;21;36
2605000;konecki;9;9
2606000;opatowski;1;4
2607000;ostrowiecki;9;9
2608000;pińczowski;1;2
2609000;sandomierski;11;11
2610000;skarżyski;5;8
2611000;starachowicki;3;3
2612000;staszowski;4;5
2613000;włoszczowski;4;3
2661000;m.Kielce;25;27
2801000;bartoszycki;5;5
2802000;braniewski;5;5
2803000;działdowski;6;7
2804000;elbląski;5;4
2805000;ełcki;8;7
2806000;giżycki;13;19
2807000;iławski;10;14
2808000;kętrzyński;7;4
2809000;lidzbarski;3;5
2810000;mrągowski;31;28
2811000;nidzicki;3;2
2812000;nowomiejski;3;2
2813000;olecki;2;3
2814000;olsztyński;10;12
2815000;ostródzki;16;18
2816000;piski;10;10
2817000;szczycieński;6;8
2818000;gołdapski;5;5
2819000;węgorzewski;2;4
2861000;m.Elbląg;11;11
2862000;m.Olsztyn;16;16
3001000;chodzieski;12;10
3002000;czarnkowsko-trzcianecki;8;7
3003000;gnieźnieński;21;14
3004000;gostyński;6;4
3005000;grodziski;5;5
3006000;jarociński;6;6
3007000;kaliski;5;9
3008000;kępiński;3;4
3009000;kolski;5;6
3010000;koniński;14;15
3011000;kościański;6;5
3012000;krotoszyński;6;6
3013000;leszczyński;13;13
3014000;międzychodzki;4;4
3015000;nowotomyski;9;10
3016000;obornicki;3;3
3017000;ostrowski;12;13
3018000;ostrzeszowski;4;3
3019000;pilski;14;11
3020000;pleszewski;3;6
3021000;poznański;48;50
3022000;rawicki;4;3
3023000;słupecki;2;3
3024000;szamotulski;6;6
3025000;średzki;6;7
3026000;śremski;6;5
3027000;turecki;5;4
3028000;wągrowiecki;3;2
3029000;wolsztyński;10;9
3030000;wrzesiński;7;8
3031000;złotowski;3;4
3061000;m.Kalisz;8;9
3062000;m.Konin;2;2
3063000;m.Leszno;6;5
3064000;m.Poznań;60;73
3201000;białogardzki;2;2
3202000;choszczeński;4;3
3203000;drawski;4;6
3204000;goleniowski;5;10
3205000;gryficki;14;13
3206000;gryfiński;8;7
3207000;kamieński;17;19
3208000;kołobrzeski;26;29
3209000;koszaliński;12;15
3210000;myśliborski;7;7
3211000;policki;7;6
3212000;pyrzycki;0;2
3213000;sławieński;6;8
3214000;stargardzki;8;11
3215000;szczecinecki;5;6
3216000;świdwiński;2;1
3217000;wałecki;6;7
3218000;łobeski;1;3
3261000;m.Koszalin;9;10
3262000;m.Szczecin;30;32
3263000;m.Świnoujście;25;28
