klub;id;imnz;rokur;wzrost;waga
Górnik Zabrze;3729;Mariusz Przybylski;1982;183;71
Górnik Zabrze;20099;Paul Thomik;1985;178;69
Górnik Zabrze;20250;Adam Wolniewicz;1993;183;78
Górnik Zabrze;8447;Daniel Gołębiewski;1987;186;76
Górnik Zabrze;13343;Michał Jonczyk;1992;180;80
Górnik Zabrze;18556;Rafał Kurzawa;1993;182;73
Górnik Zabrze;19106;Arkadiusz Milik;1994;183;73
Górnik Zabrze;8459;Préjuce Nakoulma;1987;178;76
Górnik Zabrze;20110;Idan Shriki;1981;180;64
Górnik Zabrze;17723;Szymon Sobczak;1992;181;74
Górnik Zabrze;8813;Marcin Wodecki;1988;175;65
Górnik Zabrze;6781;Tomasz Zahorski;1984;188;74
Jagiellonia Białystok;10950;Krzysztof Baran;1990;195;92
Jagiellonia Białystok;17982;Piotr Lipka;1993;193;83
Jagiellonia Białystok;17753;Tomasz Ptak;1992;194;84
Jagiellonia Białystok;8498;Grzegorz Sandomierski;1989;196;87
Jagiellonia Białystok;13637;Jakub Słowik;1991;190;82
Jagiellonia Białystok;8257;Robert Arzumanjan;1985;183;70
Jagiellonia Białystok;3974;Grzegorz Bartczak;1985;182;75
Jagiellonia Białystok;9865;Alexis Norambuena;1984;176;70
Jagiellonia Białystok;19371;Luka Pejović;1985;185;75
Jagiellonia Białystok;19543;Tomasz Porębski;1992;195;84
Jagiellonia Białystok;16753;Adam Radecki;1994;186;73
Jagiellonia Białystok;16237;El Mehdi Sidqy;1984;190;80
Jagiellonia Białystok;8340;Andrius Skerla;1977;185;81
Jagiellonia Białystok;18302;Bartosz Soczyński;1990;187;80
Jagiellonia Białystok;19865;Jonatan Straus;1994;182;71
Jagiellonia Białystok;10612;Thiago Rangel;1986;184;81
Jagiellonia Białystok;9885;Grzegorz Arłukowicz;1992;174;65
Jagiellonia Białystok;3510;Marcin Burkhardt;1983;186;80
Jagiellonia Białystok;20869;Róger Canas;1990;190;78
Jagiellonia Białystok;20101;Marko Ćetković;1986;170;65
Jagiellonia Białystok;20868;Merab Gigauri;1993;182;75
Jagiellonia Białystok;6794;Rafał Grzyb;1983;175;75
Jagiellonia Białystok;4118;Hermes;1974;168;65
Jagiellonia Białystok;17646;Vladimír Kukoľ;1986;172;65
Jagiellonia Białystok;9571;Tomasz Kupisz;1990;180;70
Jagiellonia Białystok;9300;Maciej Makuszewski;1989;176;70
Jagiellonia Białystok;5506;Dawid Plizga;1985;173;73
Jagiellonia Białystok;19369;Ermin Seratlić;1990;185;77
Jagiellonia Białystok;9782;Łukasz Tymiński;1990;173;67
Jagiellonia Białystok;462;Tomasz Frankowski;1974;172;64
Jagiellonia Białystok;2782;Bartłomiej Grzelak;1981;188;81
Jagiellonia Białystok;13543;Przemysław Jastrzębski;1993;182;71
Jagiellonia Białystok;10624;Maycon;1986;179;71
Jagiellonia Białystok;13533;Jan Pawłowski;1992;187;79
Jagiellonia Białystok;1770;Grzegorz Rasiak;1979;190;84
Korona Kielce;11800;Wojciech Małecki;1990;188;81
Korona Kielce;1249;Zbigniew Małkowski;1978;188;82
Korona Kielce;19818;Wojciech Miśkiewicz;1994;183;79
Korona Kielce;3146;Krzysztof Pilarz;1980;184;78
Korona Kielce;17894;Artur Cebula;1993;169;66
Korona Kielce;5386;Hernâni;1984;191;88
Korona Kielce;8871;Paweł Kal;1989;179;65
Korona Kielce;9527;Krzysztof Kiercz;1989;189;81
Korona Kielce;16986;Tadas Kijanskas;1985;184;78
Korona Kielce;1094;Kamil Kuzera;1983;181;75
Korona Kielce;5614;Tomasz Lisowski;1985;180;80
Korona Kielce;8561;Piotr Malarczyk;1991;189;80
Korona Kielce;8662;Pavol Staňo;1977;191;84
Korona Kielce;16534;Jakub Bąk;1993;175;68
Korona Kielce;16935;Mateusz Janiec;1992;188;75
Korona Kielce;17591;Vlastimir Jovanović;1985;182;77
Korona Kielce;6658;Paweł Kaczmarek;1985;179;70
Korona Kielce;7054;Jacek Kiełb;1988;183;70
Korona Kielce;2976;Grzegorz Lech;1983;180;72
Korona Kielce;13507;Dominik Lenart;1992;179;69
Korona Kielce;9153;Artur Lenartowski;1988;192;79
Korona Kielce;8596;Łukasz Maliszewski;1985;184;71
Korona Kielce;4145;Paweł Sobolewski;1979;175;65
Korona Kielce;3804;Aleksandar Vuković;1979;186;82
Korona Kielce;4898;Łukasz Cichos;1982;187;82
Korona Kielce;8868;Piotr Gawęcki;1989;180;70
Korona Kielce;9721;Łukasz Jamróz;1990;190;76
Korona Kielce;6601;Dawid Janczyk;1987;181;81
Korona Kielce;5573;Maciej Korzym;1988;180;77
Korona Kielce;18129;Bartosz Papka;1993;180;70
Korona Kielce;14254;Andrzej Paprocki;1992;165;60
Korona Kielce;8138;Michał Zieliński;1984;185;73
Lechia Gdańsk;10463;Michał Buchalik;1989;190;83
Lechia Gdańsk;11669;Sebastian Małkowski;1987;194;90
Lechia Gdańsk;16486;Wojciech Pawłowski;1993;190;80
Lechia Gdańsk;17472;Vytautas Andriuškevičius;1990;188;80
Lechia Gdańsk;4733;Krzysztof Bąk;1982;188;82
Lechia Gdańsk;17476;Deleu;1984;176;77
Lechia Gdańsk;19392;Lewon Hajrapetjan;1989;178;73
Lechia Gdańsk;13804;Rafał Janicki;1992;188;79
Lechia Gdańsk;14106;Sergejs Kožans;1986;192;88
Lechia Gdańsk;7113;Marcin Pietrowski;1988;184;79
Lechia Gdańsk;19467;Luka Vučko;1984;197;82
Lechia Gdańsk;9808;Marko Bajić;1985;183;80
Lechia Gdańsk;19641;Łukasz Kacprzycki;1994;165;57
Lechia Gdańsk;16066;Maciej Kostrzewa;1991;190;80
Lechia Gdańsk;8937;Mateusz Machaj;1989;174;67
Lechia Gdańsk;1485;Paweł Nowak;1979;173;63
Lechia Gdańsk;11771;Jakub Popielarz;1990;176;71
Lechia Gdańsk;8321;Kamil Poźniak;1989;182;70
Lechia Gdańsk;2064;Łukasz Surma;1977;177;70
Lechia Gdańsk;18091;Abdou Razack Traoré;1988;170;64
Lechia Gdańsk;6651;Piotr Wiśniewski;1982;177;72
Lechia Gdańsk;20142;Fred Benson;1984;175;70
Lechia Gdańsk;332;Tomasz Dawidowski;1978;179;77
Lechia Gdańsk;11767;Mariusz Korzępa;1991;170;58
Lechia Gdańsk;14107;Ivans Lukjanovs;1987;185;72
Lechia Gdańsk;11466;Mateusz Łuczak;1990;183;76
Lechia Gdańsk;18331;Aleksandr Sazankow;1984;181;78
Lechia Gdańsk;20886;Josip Tadić;1987;187;76
Lech Poznań;16139;Gerard Bieszczad;1993;190;83
Lech Poznań;13257;Jasmin Burić;1987;193;80
Lech Poznań;16966;Przemysław Frąckowiak;1994;188;83
Lech Poznań;949;Krzysztof Kotorowski;1976;186;85
Lech Poznań;20479;Aleksander Wandzel;1995;189;80
Lech Poznań;7138;Manuel Arboleda;1979;188;84
Lech Poznań;17463;Marciano Bruma;1984;183;69
Lech Poznań;8491;Ivan Đurđević;1977;183;81
Lech Poznań;8652;Luis Henríquez;1981;176;76
Lech Poznań;13821;Marcin Kamiński;1992;191;76
Lech Poznań;18429;Tomasz Kędziora;1994;183;73
Lech Poznań;5616;Marcin Kikut;1983;179;75
Lech Poznań;5077;Grzegorz Wojtkowiak;1984;184;75
Lech Poznań;5615;Hubert Wołąkiewicz;1985;182;70
Lech Poznań;16776;Szymon Drewniak;1993;179;70
Lech Poznań;12275;Kamil Drygas;1991;184;72
Lech Poznań;13120;Wojciech Golla;1992;182;80
Lech Poznań;8136;Dimitrije Injac;1980;182;77
Lech Poznań;7054;Jacek Kiełb;1988;183;70
