Numer;Reprezentacja;Pozycja;Wiek;Wzrost;Waga;LWwR
25;namibia;centre;25;182;90;19
26;namibia;centre;22;178;76;2
27;namibia;number-8;28;185;103;9
28;namibia;flyhalf;27;188;95;5
29;namibia;fullback;26;180;78;3
30;namibia;flyhalf;26;186;90;13
01;new_zealand;centre;23;177;83;1
02;new_zealand;flanker;24;193;110;10
03;new_zealand;lock;33;198;109;58
04;new_zealand;flyhalf;24;177;83;5
05;new_zealand;fullback;23;180;86;36
06;new_zealand;flyhalf;27;175;75;0
07;new_zealand;prop;30;189;115;49
08;new_zealand;prop;24;185;112;3
09;new_zealand;centre;24;180;97;7
10;new_zealand;hooker;27;182;103;2
11;new_zealand;prop;25;182;113;10
12;new_zealand;centre;29;195;98;20
13;new_zealand;lock;32;198;103;77
14;new_zealand;scrumhalf;23;175;90;4
15;new_zealand;flanker;28;182;102;43
16;new_zealand;wing;24;195;112;33
17;new_zealand;scrumhalf;26;180;88;35
18;new_zealand;lock;23;198;94;7
19;new_zealand;prop;25;182;117;8
20;new_zealand;flyhalf;26;177;83;35
21;new_zealand;flanker;27;195;98;5
22;new_zealand;hooker;24;185;100;15
23;new_zealand;wing;28;185;89;18
24;new_zealand;flanker;25;187;101;26
25;new_zealand;flanker;25;190;107;3
26;new_zealand;flyhalf;24;185;88;13
27;new_zealand;lock;24;198;106;2
28;new_zealand;wing;26;187;102;13
29;new_zealand;lock;24;198;120;7
30;new_zealand;wing;26;180;89;49
01;romania;hooker;23;185;101.6;8
02;romania;centre;22;175;83.5;9
03;romania;lock;31;198;115;36
04;romania;lock;26;196;106;3
05;romania;wing;22;182;87;4
06;romania;flanker;22;190;95;8
07;romania;hooker;24;178;98;0
08;romania;prop;20;185;100;1
09;romania;flanker;29;190;106.5;26
10;romania;wing;26;175;80;8
11;romania;centre;26;175;83;22
12;romania;wing;26;177;80;4
13;romania;scrumhalf;27;175;80;6
14;romania;centre;24;175;87.5;4
15;romania;prop;31;182;130;4
16;romania;fullback;22;175;83.5;12
17;romania;prop;28;180;112.5;12
18;romania;flanker;23;193;105;4
19;romania;prop;29;186;104;1
20;romania;wing;25;182;90;1
21;romania;number-8;26;193;104;9
22;romania;scrumhalf;23;180;84;1
23;romania;wing;30;185;93;31
24;romania;prop;30;182;121.5;23
25;romania;flanker;21;181;106;0.00
26;romania;flyhalf;22;177;73;7
27;romania;lock;19;196;95;0.00
28;romania;lock;30;198;115;19
29;romania;centre;25;182;82;9
30;romania;flyhalf;27;177;80;4
01;scotland;scrumhalf;33;172;86;49
02;scotland;hooker;24;180;96;17
03;scotland;prop;34;185;109;49
04;scotland;scrumhalf;26;177;89;2
05;scotland;prop;33;170;108;10
06;scotland;lock;25;195;105;17
07;scotland;prop;29;177;103;37
08;scotland;fullback;25;182;95;8
09;scotland;centre;29;185;93;7
10;scotland;flanker;28;190;102;9
11;scotland;wing;27;185;93;43
12;scotland;wing;27;182;101;11
13;scotland;flanker;27;198;105;1
14;scotland;centre;22;177;92;3
15;scotland;centre;27;190;105;2
16;scotland;fullback;28;180;88;11
17;scotland;centre;24;177;83;13
18;scotland;lock;23;198;105;16
19;scotland;fullback;21;181;76;0.00
20;scotland;flanker;26;187;95;9
21;scotland;lock;30;200;112;17
22;scotland;scrumhalf;28;170;74;30
23;scotland;flanker;29;190;104;3
24;scotland;hooker;23;177;96;2
25;scotland;number-8;28;185;108;6
26;scotland;prop;28;175;110;12
27;scotland;centre;35;180;95;26
28;scotland;flyhalf;26;185;86;43
29;scotland;flanker;30;190;114;22
30;scotland;lock;29;198;111;54
01;south_africa;lock;27;200;112;57
02;south_africa;flyhalf;27;182;80;8
03;south_africa;hooker;28;182;105;21
04;south_africa;prop;27;190;120;34
05;south_africa;flanker;27;190;100;24
06;south_africa;centre;24;182;92;7
07;south_africa;prop;29;189;116;27
08;south_africa;flyhalf;34;190;90;33
09;south_africa;centre;21;186;88;0
10;south_africa;wing;29;175;78;5
11;south_africa;flanker;29;189;102;34
12;south_africa;number-8;25;191;106;1
13;south_africa;prop;26;182;122;22
14;south_africa;centre;23;176;75;0
15;south_africa;fullback;25;182;85;30
16;south_africa;centre;30;190;90;29
17;south_africa;lock;28;200;116;29
18;south_africa;wing;23;174;79;6
19;south_africa;hooker;30;182;105;7
20;south_africa;wing;28;193;90;30
21;south_africa;flanker;23;195;104;11
22;south_africa;scrumhalf;26;172;80;13
23;south_africa;wing;24;187;95;17
24;south_africa;lock;25;201;102;5
25;south_africa;scrumhalf;28;188;89;53
26;south_africa;lock;29;198;112;13
27;south_africa;flanker;29;195;106;40
